ID,Criterio de aceptación,Descripción,Nombre del requisito,N° ID,Prioridad,Regla de negocio,Tipo,Usuarios
REQ-01,El administrador puede crear perfiles y asignar el flag de creador de casos.,"Los usuarios de docentes, la asignación de roles y permisos deben ser creados por un usuario administrador. ",Gestión de usuarios y permisos,1,Alta,Solo administradores gestionan roles; solo docentes autorizados crean casos.,Necesario,Administrador
REQ-02,El sistema valida que todos los niveles de la jerarquía (Caso > Escenario > Pregunta > Opciones) estén completos antes de guardar.,"Los docentes deben formular el caso con: Nombre del caso, Desarrollo situacional, Contexto/Historia, y Lista de escenarios. Cada escenario debe tener un contexto, preguntas y respuestas. ",Estructuración del caso de estudio,2,Alta,Cumplimiento estricto de la estructura anidada para habilitar el guardado.,Necesario,Docente
REQ-03,Toda opción de respuesta cuenta con una justificación de corrección y el caso tiene una rúbrica vinculada.,"A cada respuesta se debe asociar si es correcta/errónea, el por qué (retroalimentación), e indicar tiempo estimado. ",Configuración de rúbrica y retroalimentación,3,Alta,Es obligatorio justificar por qué una respuesta es correcta o errónea.,Necesario,Docente
REQ-04,El caso queda agendado y el sistema dispara correos automáticos con credenciales de acceso.,"El docente agenda asociando: nombre del espacio académico, estudiantes, horario inicio/fin, fecha, tiempo máximo, lugar y mensaje personalizado. ",Agendamiento y notificación de alumnos,4,Alta,El tiempo máximo de participación no puede ser mayor al tiempo estimado inicial.,Necesario,"Docente, Sistema"
REQ-05,Las adiciones o eliminaciones del listado detonan una alerta automática al correo del estudiante afectado.,"El docente podrá agregar o quitar estudiantes de la lista de autorizados. ",Modificación de lista de autorizados,5,Media,Todo cambio en la lista de autorizados requiere notificación inmediata.,Importante,Docente
REQ-06,Botón de inicio cambia el estado del agendamiento y habilita la vista para los alumnos.,"El docente debe dar inicio a la sesión del caso de estudio. Al hacer esto, el caso quedará en un estado de En curso.",Control de inicio de sesión docente,6,Alta,Los alumnos no pueden iniciar la prueba hasta que el docente abra la sesión.,Necesario,Docente
REQ-07,"El sistema valida credenciales y verifica el umbral de tiempo; si excede el 50%, bloquea el ingreso.","Los estudiantes deben autenticarse con correo y código de autorización. ",Autenticación y restricción de ingreso,7,Alta,Bloqueo estricto de ingreso si transcurre >50% del tiempo de inicio.,Necesario,Estudiante
REQ-08,"El UI permite navegación libre bidireccional, muestra cronómetro y oculta justificaciones de error.","El sistema debe contar el tiempo y mostrar el progreso. Un estudiante puede volver entre preguntas y cambiar respuestas hasta finalizar. ",Ejecución interactiva de la simulación,8,Alta,Retroalimentación diferida obligatoria para evitar ventajas durante la simulación.,Necesario,Estudiante
REQ-09,"Pantalla de resultados expone feedback granular y cálculo final, seguido de un envío al correo.","Al culminar, muestra resumen de respuestas fallidas y acertadas con su retroalimentación. Debe usar la rúbrica asociada para mostrar la calificación final al estudiante. ",Calificación automatizada y resumen final,9,Alta,Calificación fundamentada estrictamente en la rúbrica asociada.,Necesario,"Estudiante, Sistema"
REQ-10,El sistema barre la lista de autorizados tras el cierre y procesa ceros o notas parciales automáticamente.,"Si un estudiante no culmina, el sistema reportará sus notas hasta donde avanzó. ",Gestión de notas por abandono o inasistencia,10,Alta,"Evaluación proporcional al avance guardado, penalización con 0 total por inasistencia.",Necesario,Sistema
REQ-11,"El docente cuenta con un campo de texto en cada historial evaluado; al guardar, se genera una alerta in-app.","El docente puede ver las respuestas del estudiante y agregar una retroalimentación general. ",Auditoría y retroalimentación cualitativa,11,Media,El feedback docente debe comunicarse mediante el sistema interno.,Importante,"Docente, Sistema"
REQ-12,Bloqueo por defecto tras el primer envío; solo se levanta si el creador acciona un permiso manual.,"Un estudiante que ya participó puede volver a participar solo si es autorizado por el docente creador. ",Control y restricción de reintentos,12,Alta,La habilitación de reintentos es exclusiva del docente que formuló el caso.,Necesario,"Docente, Estudiante"
REQ-13,El botón de exportación genera un archivo legible y sella el estado de la simulación.,"El docente descarga su reporte de participación y el estado del caso queda como finalizado. Con las notas reportadas, el docente alimenta su sistema de notas académicas.",Generación de reportes y actas,13,Alta,La descarga de reportes detona el cierre manual del caso.,Necesario,Docente
REQ-14,Un CRON job en el servidor verifica fechas límite y actualiza estados a Finalizado tras 24 horas de inactividad.,"Al guardar, el caso queda en estado sin iniciar. El sistema debe validar su fecha para cambiar el estado un día después al estado finalizado si no lo hace el docente. ",Gestión automática de estados del caso,14,Alta,Finalización forzosa un día después del plazo para evitar casos permanentemente abiertos.,Necesario,Sistema
REQ-15,"El sistema deberá permitir al docente generar opciones de estructura de casos y emitir retroalimentación automatizada utilizando el asistente de IA. ",Se implementa la IA para hacer la retroalimentación y para ayudar a diseñar casos de estudio.,Incorporación de IA,15,Media,"La IA actúa como asistente generativo; la revisión y aprobación final del contenido recae obligatoriamente en el docente antes de publicarse. ",Importante,"Docente, Sistema"